adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-9BB189E0DD629B46,REC-72CE3AFC19E6F55D,冠心病,8
SRCADJ-CARD-BULK-BEA63534A6C2EBC1,REC-06A4C4DDBAEDAA6A,冠心病,8
SRCADJ-CARD-BULK-81F1165D4C1DF87D,REC-33FC7A359E1DA0BB,冠心病,8
SRCADJ-CARD-BULK-0D531509335455A5,REC-13AB94BB541808B3,冠心病,8
SRCADJ-CARD-BULK-9876D9815CFD7B83,REC-3A1C60225ED42F22,冠心病,8
SRCADJ-CARD-BULK-050CFB5A23B3E2A5,REC-0C4298F05F8B721B,冠心病,8
SRCADJ-CARD-BULK-468D14974E96B0F9,REC-3565AC8D78FB12CB,冠心病,8
SRCADJ-CARD-BULK-D0C79D7C0138392C,REC-89A78DF92D89D62C,冠心病,8
SRCADJ-CARD-BULK-5E1967B4E61C9EEC,REC-2D3B6B1813298A97,冠心病,8
SRCADJ-CARD-BULK-3EC874F70194D633,REC-F562BBBF4440B83B,冠心病,8
SRCADJ-CARD-BULK-DCBEAC5FCECA8B90,REC-94F5D2BD891A1C5D,冠心病,8
SRCADJ-CARD-BULK-AB2D26B058CC9169,REC-84244900D44544BD,冠心病,8
SRCADJ-CARD-BULK-B1085283B7BF5F8D,REC-4D99AA7991249384,心力衰竭,8
SRCADJ-CARD-BULK-86FF453066D5795D,REC-713CAA3F200C250E,心力衰竭,8
SRCADJ-CARD-BULK-AF64DD3BC74A3BA5,REC-C8BC81FA4A99CFFD,心力衰竭,8
SRCADJ-CARD-BULK-E1F514327BEF505C,REC-3A6BA48320B05217,心力衰竭,8
SRCADJ-CARD-BULK-DF49F7DA8FFBA48D,REC-A85649C61BA4AEA9,心力衰竭,8
SRCADJ-CARD-BULK-46D58D99D740B6A2,REC-0F630AC742C64BB6,心力衰竭,8
SRCADJ-CARD-BULK-270A9E3E1A10C06F,REC-D6E3E20CC3A239C2,心力衰竭,8
SRCADJ-CARD-BULK-3955D1602B0EF1FA,REC-773A8F4D3FBECC1A,心力衰竭,8
SRCADJ-CARD-BULK-86D566693919C9D4,REC-9374F3930A04EA51,心力衰竭,8
SRCADJ-CARD-BULK-5F19CA4FFF02DA96,REC-B85BF2552DE6849B,心力衰竭,8
SRCADJ-CARD-BULK-96E53A97F7CC5D59,REC-1F08D0D8F95F8840,心力衰竭,8
SRCADJ-CARD-BULK-7F0BD2449B4C3299,REC-D45CAF96A2017FFB,心力衰竭,8
SRCADJ-CARD-BULK-A1AAC930310A8381,REC-BC83F3EE8B0FA67D,心力衰竭,8
SRCADJ-CARD-BULK-3976CF063F033A4C,REC-52314CDED5532BDA,心力衰竭,8
SRCADJ-CARD-BULK-4CE86BC7CAE0BF23,REC-3F196A9FDA47EC87,心力衰竭,8
SRCADJ-CARD-BULK-9D9198D0E5D4E50D,REC-1EAC86CC172E82A3,心力衰竭,8
SRCADJ-CARD-BULK-575C01A3C18354F5,REC-7BE93D3C194B1C0A,心肌病,8
SRCADJ-CARD-BULK-9601249A2398193F,REC-292BE2CF55986450,心力衰竭,8
SRCADJ-CARD-BULK-DC6191F9B52195A3,REC-A42A28167A3ECA65,心力衰竭,8
SRCADJ-CARD-BULK-E91655DE514CD32E,REC-B3EABCBC56B3613A,心力衰竭,8
SRCADJ-CARD-BULK-F57D7D7F859769C1,REC-B04D6200D4BB9821,心力衰竭,8
SRCADJ-CARD-BULK-51C0830C39A21CD2,REC-84BF0B512DC5CDB8,心力衰竭,8
SRCADJ-CARD-BULK-0283F49C1248AC9C,REC-F0EDA6FAF73E180D,心力衰竭,8
SRCADJ-CARD-BULK-1BE70A74326158D2,REC-94618DD43705D2DF,心力衰竭,8
SRCADJ-CARD-BULK-A28CCECB3D7812E7,REC-A515D5BD5F41CCE3,心力衰竭,8
SRCADJ-CARD-BULK-87AEA0CB299DE05D,REC-15126939F30762EE,心律失常,8
SRCADJ-CARD-BULK-BC325CCC2643C14C,REC-2552823372289E79,心律失常,8
SRCADJ-CARD-BULK-885394FEBB914FB4,REC-3988F9FE0A801E2A,心律失常,8
SRCADJ-CARD-BULK-05B14BC8E1584394,REC-AF4CC96EF2F02105,心律失常,8
SRCADJ-CARD-BULK-B396CABF4D47D36D,REC-3A4D17008D1F8F04,心律失常,8
SRCADJ-CARD-BULK-94AB3405E2362AB4,REC-FEE2B4F5EF9F1D23,心律失常,8
SRCADJ-CARD-BULK-EC2E4075CA3D9CCF,REC-F00FEA7F92ABEDCF,心律失常,8
SRCADJ-CARD-BULK-553CD3EF696FBA2C,REC-333AA9DF420F7DB2,心肌病,8
SRCADJ-CARD-BULK-FF42A5171C33CE3E,REC-0F86F06B81582959,心肌病,8
SRCADJ-CARD-BULK-363490FA1C58032B,REC-C0E48FC63BA63D40,心肌病,8
SRCADJ-CARD-BULK-A3A4F2BE8C15D0C8,REC-5CF2C71E532DF775,心律失常,8
SRCADJ-CARD-BULK-1E0278231E9DDB71,REC-B16B52AD84F730BD,心律失常,8
SRCADJ-CARD-BULK-A6BBC730F2539416,REC-8C04A95AF651F1C5,心律失常,8
SRCADJ-CARD-BULK-AE1B6705C9534CC9,REC-8EB7BC695BE11E46,心律失常,8
SRCADJ-CARD-BULK-E2D016BE9C54E299,REC-EA3C35D449A69450,心律失常,8
SRCADJ-CARD-BULK-F2FBBF11F4ADB771,REC-300EDB319691EA8A,心律失常,8
SRCADJ-CARD-BULK-4C1FF01BFC3EFC26,REC-5BF430CF0B27E0F5,心律失常,8
SRCADJ-CARD-BULK-637C3C7F074F660B,REC-557EEA930403FD14,心律失常,8
