scope,disease_code,disease,plan_code,plan_name,relation,target_code,target_name,status
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,PLAN-CARD-47613024D1C5,持续性室性心动过速治疗方案,has_treatment_component,PLAN-CARD-TEXT-EEF9C97B59,血运重建,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_medication,MED-CARD-0D88ECB6525C,普罗帕酮,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_medication,MED-CARD-C685CE7163F5,维拉帕米,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_medication,MED-CARD-75C23ADDCA3A,伊布利特,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_medication,MED-CARD-F50DC811465A,索他洛尔,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_medication,MED-AMIODARONE,胺碘酮,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_medication,MED-CARD-33087B86B32A,腺苷,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_procedure,PROC-CARD-4777F9B8D8F3,射频导管消融,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_procedure,PROC-CARD-7FD747D740F0,同步直流电复律,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_procedure,PROC-CARD-B13C58DD2614,颈动脉窦按摩,linked
心律失常,DIS-CARD-ARR-WPW,预激综合征,PLAN-CARD-C6D5D3242A03,预激综合征治疗方案,includes_procedure,PROC-CARD-69A311F01D4B,三尖瓣环峡部消融,linked
