CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
推荐检验,1,LabTest、LabTestIndicator,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可展示但需补强,7
风险分层,0,RiskStratification,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,缺口,7
治疗方案,1,TreatmentPlan、RecommendationStatement,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可展示但需补强,7
药物推荐,3,Medication,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可用于CDSS展示,7
手术/操作推荐,1,Procedure,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可展示但需补强,7
禁忌与风险预警,3,Contraindication、ClinicalRule,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可用于CDSS展示,7
随访,1,FollowUp,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可展示但需补强,7
预后/预防,1,Prognosis、Prevention,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可展示但需补强,7
并发症管理,2,Complication,0,隐匿性冠心病,,DIS-CARD-CAD-SILENT-ISCHEMIA,可展示但需补强,7
疑似疾病识别,19,Symptom、Sign,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
鉴别诊断,3,DifferentialDiagnosis,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
推荐检查,13,Exam、ExamIndicator,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
推荐检验,6,LabTest、LabTestIndicator,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
风险分层,2,RiskStratification,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可展示但需补强,784
治疗方案,6,TreatmentPlan、RecommendationStatement,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
药物推荐,14,Medication,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
手术/操作推荐,3,Procedure,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
禁忌与风险预警,4,Contraindication、ClinicalRule,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
随访,1,FollowUp,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可展示但需补强,784
预后/预防,1,Prognosis、Prevention,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可展示但需补强,784
并发症管理,6,Complication,0,非ST段抬高型心肌梗死,,DIS-CARD-CAD-NSTEMI,可用于CDSS展示,784
